Year,GDP Rate,,Time,Rate
1952,11.84,,1961Q1,0
1953,9.85,,1961Q2,0
1954,9.96,,1961Q3,0
1955,7.84,,1961Q4,0
1956,5.3,,1962Q1,8.12
1957,7.35,,1962Q2,8.08
1958,6.86,,1962Q3,11.42
1959,7.96,,1962Q4,5.2
1960,6.87,,1963Q1,13.43
1961,6.32,,1963Q2,9.84
1962,8.04,,1963Q3,6.42
1963,9.81,,1963Q4,9.43
1964,11.57,,1964Q1,11.86
1965,10.85,,1964Q2,12.84
1966,8.72,,1964Q3,12.44
1967,10.41,,1964Q4,9.45
1968,9,,1965Q1,9.23
1969,8.66,,1965Q2,10.66
1970,10.6,,1965Q3,11.82
1971,12.45,,1965Q4,11.73
1972,13.15,,1966Q1,5.73
1973,11.83,,1966Q2,8.77
1974,1.86,,1966Q3,12.39
1975,5.43,,1966Q4,8.29
1976,13.45,,1967Q1,11.59
1977,10.88,,1967Q2,9.54
1978,13.49,,1967Q3,8.3
1979,8.01,,1967Q4,12.02
1980,7.32,,1968Q1,7.72
1981,6.46,,1968Q2,8.22
1982,3.97,,1968Q3,12.16
1983,8.32,,1968Q4,8.12
1984,9.32,,1969Q1,10.44
1985,4.07,,1969Q2,8.98
1986,11,,1969Q3,8.86
1987,10.68,,1969Q4,6.59
1988,5.57,,1970Q1,7.27
1989,10.28,,1970Q2,12.15
1990,6.87,,1970Q3,10.41
1991,7.88,,1970Q4,12.49
1992,7.56,,1971Q1,12.63
1993,6.73,,1971Q2,15.23
1994,7.59,,1971Q3,13.49
1995,6.38,,1971Q4,8.81
1996,5.54,,1972Q1,13.6
1997,5.48,,1972Q2,13.34
1998,3.47,,1972Q3,11.5
1999,5.97,,1972Q4,14.1
2000,5.8,,1973Q1,13.35
2001,-1.65,,1973Q2,9.39
2002,5.26,,1973Q3,14.03
2003,3.67,,1973Q4,10.75
2004,6.19,,1974Q1,5.97
2005,4.7,,1974Q2,2.43
2006,5.44,,1974Q3,-0.69
2007,5.98,,1974Q4,-0.18
2008,0.73,,1975Q1,-3.4
2009,-1.81,,1975Q2,3.87
2010,10.76,,1975Q3,9.9
2011,4.19,,1975Q4,11.61
2012,1.48,,1976Q1,15.18
2013,2.11,,1976Q2,13.43
2014,2.82,,1976Q3,11.95
,,,1976Q4,13.35
,,,1977Q1,11.63
,,,1977Q2,13.21
,,,1977Q3,8.51
,,,1977Q4,10.27
,,,1978Q1,12.86
,,,1978Q2,12.34
,,,1978Q3,17.06
,,,1978Q4,11.92
,,,1979Q1,10
,,,1979Q2,9.04
,,,1979Q3,6.74
,,,1979Q4,6.46
,,,1980Q1,7.31
,,,1980Q2,7.59
,,,1980Q3,7.12
,,,1980Q4,7.28
,,,1981Q1,6.63
,,,1981Q2,6.38
,,,1981Q3,7.68
,,,1981Q4,5.21
,,,1982Q1,3.8
,,,1982Q2,4.35
,,,1982Q3,3.85
,,,1982Q4,3.89
,,,1983Q1,3.6
,,,1983Q2,7.65
,,,1983Q3,10.61
,,,1983Q4,11.23
,,,1984Q1,11.15
,,,1984Q2,10.97
,,,1984Q3,8.94
,,,1984Q4,6.51
,,,1985Q1,4.91
,,,1985Q2,3.55
,,,1985Q3,2.86
,,,1985Q4,4.99
,,,1986Q1,9.96
,,,1986Q2,9.33
,,,1986Q3,12.83
,,,1986Q4,11.84
,,,1987Q1,10.19
,,,1987Q2,11.65
,,,1987Q3,11.94
,,,1987Q4,8.98
,,,1988Q1,6.48
,,,1988Q2,4.53
,,,1988Q3,5.21
,,,1988Q4,6.12
,,,1989Q1,10.61
,,,1989Q2,10.54
,,,1989Q3,8.41
,,,1989Q4,11.58
,,,1990Q1,7.19
,,,1990Q2,5.6
,,,1990Q3,6.04
,,,1990Q4,8.59
,,,1991Q1,6.37
,,,1991Q2,8.17
,,,1991Q3,8.86
,,,1991Q4,8.06
,,,1992Q1,9.66
,,,1992Q2,7.73
,,,1992Q3,7.44
,,,1992Q4,5.65
,,,1993Q1,6.58
,,,1993Q2,7.07
,,,1993Q3,6.55
,,,1993Q4,6.73
,,,1994Q1,6.14
,,,1994Q2,7.9
,,,1994Q3,7.07
,,,1994Q4,9.12
,,,1995Q1,7.37
,,,1995Q2,6.33
,,,1995Q3,6.91
,,,1995Q4,5.04
,,,1996Q1,5
,,,1996Q2,5.24
,,,1996Q3,5.44
,,,1996Q4,6.39
,,,1997Q1,4.97
,,,1997Q2,4.94
,,,1997Q3,5.82
,,,1997Q4,6.1
,,,1998Q1,4.01
,,,1998Q2,3.4
,,,1998Q3,4.05
,,,1998Q4,2.5
,,,1999Q1,5.64
,,,1999Q2,6.53
,,,1999Q3,5.08
,,,1999Q4,6.6
,,,2000Q1,5.48
,,,2000Q2,5.47
,,,2000Q3,6.84
,,,2000Q4,5.41
,,,2001Q1,0.95
,,,2001Q2,-2.98
,,,2001Q3,-4.11
,,,2001Q4,-0.36
,,,2002Q1,1.62
,,,2002Q2,6.5
,,,2002Q3,6.79
,,,2002Q4,6.02
,,,2003Q1,4.69
,,,2003Q2,-1.27
,,,2003Q3,4.64
,,,2003Q4,6.41
,,,2004Q1,6.05
,,,2004Q2,9.67
,,,2004Q3,6.67
,,,2004Q4,2.91
,,,2005Q1,2.71
,,,2005Q2,4.01
,,,2005Q3,4.81
,,,2005Q4,6.98
,,,2006Q1,5.82
,,,2006Q2,5.78
,,,2006Q3,6.48
,,,2006Q4,3.84
,,,2007Q1,4.45
,,,2007Q2,5.7
,,,2007Q3,7.08
,,,2007Q4,6.51
,,,2008Q1,7.55
,,,2008Q2,5.66
,,,2008Q3,-1.23
,,,2008Q4,-7.53
,,,2009Q1,-8.12
,,,2009Q2,-6.58
,,,2009Q3,-1.41
,,,2009Q4,8.82
,,,2010Q1,13.11
,,,2010Q2,12.89
,,,2010Q3,11.57
,,,2010Q4,6.21
,,,2011Q1,7.63
,,,2011Q2,4.76
,,,2011Q3,3.63
,,,2011Q4,1.18
,,,2012Q1,0.53
,,,2012Q2,0.08
,,,2012Q3,1.35
,,,2012Q4,3.85
,,,2013Q1,1.44
,,,2013Q2,2.69
,,,2013Q3,1.31
,,,2013Q4,2.95
